persona,model,clearance,authz_leaves,closure_hops,team_scoped,company_scoped,owner_scoped,sensitivity_surface,masked_fields,mask_cost_class
ttv,pco.sale.order,internal,2,0,True,True,False,14,5,O(result_rows*masked_fields)
ttv,pco.sale.order.line,internal,2,1,True,True,False,10,6,O(result_rows*masked_fields)
ttv,pco.sale.order.payment,internal,2,1,True,True,False,3,2,O(result_rows*masked_fields)
ttv,pco.sale.order.guarantee,internal,2,1,True,True,False,4,3,O(result_rows*masked_fields)
ttf,pco.sale.order,internal,2,0,True,True,False,14,5,O(result_rows*masked_fields)
ttf,pco.sale.order.line,internal,2,1,True,True,False,10,6,O(result_rows*masked_fields)
ttf,pco.sale.order.payment,internal,2,1,True,True,False,3,2,O(result_rows*masked_fields)
ttf,pco.sale.order.guarantee,internal,2,1,True,True,False,4,3,O(result_rows*masked_fields)
ttv_c1,pco.sale.order,internal,2,0,True,True,False,14,5,O(result_rows*masked_fields)
ttv_c1,pco.sale.order.line,internal,2,1,True,True,False,10,6,O(result_rows*masked_fields)
ttv_c1,pco.sale.order.payment,internal,2,1,True,True,False,3,2,O(result_rows*masked_fields)
ttv_c1,pco.sale.order.guarantee,internal,2,1,True,True,False,4,3,O(result_rows*masked_fields)
viewer_all,pco.sale.order,confidential,1,0,False,True,False,14,0,O(result_rows*masked_fields)
viewer_all,pco.sale.order.line,confidential,1,1,False,True,False,10,1,O(result_rows*masked_fields)
viewer_all,pco.sale.order.payment,confidential,1,1,False,True,False,3,0,O(result_rows*masked_fields)
viewer_all,pco.sale.order.guarantee,confidential,1,1,False,True,False,4,0,O(result_rows*masked_fields)
sales_own,pco.sale.order,internal,2,0,True,True,False,14,5,O(result_rows*masked_fields)
sales_own,pco.sale.order.line,internal,3,1,True,True,True,10,6,O(result_rows*masked_fields)
sales_own,pco.sale.order.payment,internal,2,1,True,True,False,3,2,O(result_rows*masked_fields)
sales_own,pco.sale.order.guarantee,internal,2,1,True,True,False,4,3,O(result_rows*masked_fields)
