module,model,discriminator,relation_path,hops,definer_model,axis_governed,native_rule,parent_governed,verdict,derived_closure
account,account.account,company_ids,company_ids,0,account.account,True,True,True,GOVERNED,
account,account.account,id,id,0,account.account,True,False,False,PARENT-UNGOVERNED,
account,account.account.tag,country_id,country_id,0,account.account.tag,True,False,False,PARENT-UNGOVERNED,
account,account.account.tag,id,id,0,account.account.tag,True,False,False,PARENT-UNGOVERNED,
account,account.analytic.account,company_id,company_id,0,account.analytic.account,True,True,True,GOVERNED,
account,account.analytic.account,id,id,0,account.analytic.account,True,False,False,PARENT-UNGOVERNED,
account,account.analytic.account,partner_id,partner_id,0,account.analytic.account,True,False,False,PARENT-UNGOVERNED,
account,account.analytic.applicability,company_id,company_id,0,account.analytic.applicability,True,True,True,GOVERNED,
account,account.analytic.applicability,id,id,0,account.analytic.applicability,True,False,False,PARENT-UNGOVERNED,
account,account.analytic.distribution.model,company_id,company_id,0,account.analytic.distribution.model,True,True,True,GOVERNED,
account,account.analytic.distribution.model,id,id,0,account.analytic.distribution.model,True,False,False,PARENT-UNGOVERNED,
account,account.analytic.distribution.model,partner_id,partner_id,0,account.analytic.distribution.model,True,False,False,PARENT-UNGOVERNED,
account,account.analytic.line,company_id,company_id,0,account.analytic.line,True,True,True,GOVERNED,
account,account.analytic.line,id,id,0,account.analytic.line,True,False,False,PARENT-UNGOVERNED,
account,account.analytic.line,partner_id,partner_id,0,account.analytic.line,True,False,False,PARENT-UNGOVERNED,
account,account.analytic.line,user_id,user_id,0,account.analytic.line,True,False,False,PARENT-UNGOVERNED,
account,account.analytic.plan,id,id,0,account.analytic.plan,True,False,False,PARENT-UNGOVERNED,
account,account.bank.statement,id,id,0,account.bank.statement,True,False,False,PARENT-UNGOVERNED,
account,account.bank.statement.line,company_id,move_id.company_id,1,account.move,True,True,True,GOVERNED,
account,account.bank.statement.line,id,id,0,account.bank.statement.line,True,False,False,PARENT-UNGOVERNED,
account,account.bank.statement.line,invoice_user_id,move_id.invoice_user_id,1,account.move,True,False,True,GAP,move_id.invoice_user_id
account,account.bank.statement.line,partner_id,partner_id,0,account.bank.statement.line,True,False,False,PARENT-UNGOVERNED,
account,account.cash.rounding,id,id,0,account.cash.rounding,True,False,False,PARENT-UNGOVERNED,
account,account.code.mapping,id,id,0,account.code.mapping,True,False,False,PARENT-UNGOVERNED,
account,account.fiscal.position,company_id,company_id,0,account.fiscal.position,True,True,True,GOVERNED,
account,account.fiscal.position,country_id,country_id,0,account.fiscal.position,True,False,False,PARENT-UNGOVERNED,
account,account.fiscal.position,id,id,0,account.fiscal.position,True,False,False,PARENT-UNGOVERNED,
