module,model,discriminator,relation_path,hops,definer_model,axis_governed,native_rule,parent_governed,verdict,derived_closure
account,account.account,company_ids,company_ids,0,account.account,True,True,True,GOVERNED,
account,account.analytic.account,company_id,company_id,0,account.analytic.account,True,True,True,GOVERNED,
account,account.analytic.account,partner_id,partner_id,0,account.analytic.account,True,False,False,PARENT-UNGOVERNED,
account,account.analytic.applicability,company_id,company_id,0,account.analytic.applicability,True,True,True,GOVERNED,
account,account.analytic.distribution.model,company_id,company_id,0,account.analytic.distribution.model,True,True,True,GOVERNED,
account,account.analytic.distribution.model,partner_id,partner_id,0,account.analytic.distribution.model,True,False,False,PARENT-UNGOVERNED,
account,account.analytic.line,company_id,company_id,0,account.analytic.line,True,True,True,GOVERNED,
account,account.analytic.line,partner_id,partner_id,0,account.analytic.line,True,False,False,PARENT-UNGOVERNED,
account,account.analytic.line,user_id,user_id,0,account.analytic.line,True,False,False,PARENT-UNGOVERNED,
account,account.bank.statement.line,company_id,move_id.company_id,1,account.move,True,True,True,GOVERNED,
account,account.bank.statement.line,invoice_user_id,move_id.invoice_user_id,1,account.move,True,False,True,GAP,move_id.invoice_user_id
account,account.bank.statement.line,partner_id,partner_id,0,account.bank.statement.line,True,False,False,PARENT-UNGOVERNED,
account,account.fiscal.position,company_id,company_id,0,account.fiscal.position,True,True,True,GOVERNED,
account,account.fiscal.position.account,company_id,position_id.company_id,1,account.fiscal.position,True,False,True,GAP,position_id.company_id
account,account.group,company_id,company_id,0,account.group,True,True,True,GOVERNED,
account,account.invoice.report,company_id,company_id,0,account.invoice.report,True,True,True,GOVERNED,
account,account.invoice.report,invoice_user_id,invoice_user_id,0,account.invoice.report,True,True,True,GOVERNED,
account,account.invoice.report,partner_id,partner_id,0,account.invoice.report,True,False,False,PARENT-UNGOVERNED,
account,account.journal,company_id,company_id,0,account.journal,True,True,True,GOVERNED,
account,account.journal.group,company_id,company_id,0,account.journal.group,True,True,True,GOVERNED,
account,account.lock_exception,company_id,company_id,0,account.lock_exception,True,False,False,PARENT-UNGOVERNED,
account,account.lock_exception,user_id,user_id,0,account.lock_exception,True,False,False,PARENT-UNGOVERNED,
account,account.move,company_id,company_id,0,account.move,True,True,True,GOVERNED,
account,account.move,invoice_user_id,invoice_user_id,0,account.move,True,True,True,GOVERNED,
account,account.move,partner_id,partner_id,0,account.move,True,True,True,GOVERNED,
account,account.move.line,company_id,move_id.company_id,1,account.move,True,True,True,GOVERNED,
account,account.move.line,invoice_user_id,move_id.invoice_user_id,1,account.move,True,True,True,GOVERNED,
account,account.move.line,partner_id,partner_id,0,account.move.line,True,True,True,GOVERNED,
account,account.partial.reconcile,company_id,company_id,0,account.partial.reconcile,True,False,False,PARENT-UNGOVERNED,
account,account.payment,company_id,company_id,0,account.payment,True,True,True,GOVERNED,
account,account.payment,partner_id,partner_id,0,account.payment,True,False,False,PARENT-UNGOVERNED,
account,account.payment.term,company_id,company_id,0,account.payment.term,True,True,True,GOVERNED,
account,account.payment.term.line,company_id,payment_id.company_id,1,account.payment.term,True,False,True,GAP,payment_id.company_id
account,account.reconcile.model,company_id,company_id,0,account.reconcile.model,True,True,True,GOVERNED,
account,account.reconcile.model.line,partner_id,partner_id,0,account.reconcile.model.line,True,False,False,PARENT-UNGOVERNED,
account,account.report.external.value,company_id,company_id,0,account.report.external.value,True,True,True,GOVERNED,
account,account.tax,company_id,company_id,0,account.tax,True,True,True,GOVERNED,
account,account.tax.group,company_id,company_id,0,account.tax.group,True,True,True,GOVERNED,
sale,sale.order,company_id,company_id,0,sale.order,True,True,True,GOVERNED,
sale,sale.order,partner_id,partner_id,0,sale.order,True,True,True,GOVERNED,
sale,sale.order,user_id,user_id,0,sale.order,True,True,True,GOVERNED,
sale,sale.order.line,company_id,order_id.company_id,1,sale.order,True,True,True,GOVERNED,
sale,sale.order.line,partner_id,order_id.partner_id,1,sale.order,True,True,True,GOVERNED,
